species,dataset,topskip,nmetavar,analysis,max_missing,Run_OptSiteMix_minimum_Sites,Run_OptSiteMix_minimum_samples,threshold_maf,threshold_allele_prop,GN_number,GN_colours,Run_forced_OptSiteMix,List_of_ForcedSites
NothMoor,DNoth23-7807,6,20,AllSamplesNoClones,0.2,no,no,0.03,0.9,4,"red,green,orange,blue",no,
NothMoor,DNoth23-7807,6,20,BaringtonOnlyNoClones,0.2,no,no,0.03,0.9,3,"blue,red,green",no,
NothMoor,DNoth23-7807,6,20,IndividualSample,0.2,no,no,0.03,0.9,3,"blue,red,green",no,
FlinAust - new order to analyse,DFlin23-8306,6,20,sp,0.2,no,no,0.03,0.9,2,"red,blue",no,
FlinAust - new order to analyse,DFlin23-8306,6,20,xanthoxylaANDaustralis,0.2,no,no,0.03,0.9,2,"red,blue",no,
FlinAust - new order to analyse,DFlin23-8306,6,20,xanthoxylaANDschottiana,0.2,no,no,0.03,0.9,2,"red,blue",no,
FlinAust - new order to analyse,DFlin23-8306,6,20,xanthoxyla,0.2,no,no,0.03,0.9,2,"red,blue",no,
FlinAust - new order to analyse,DFlin23-8306,6,20,schottiana,0.2,no,no,0.03,0.9,2,"red,blue",no,
FlinAust - new order to analyse,DFlin23-8306,6,20,australis,0.2,no,no,0.03,0.9,2,"red,blue",no,
ArgyTrif,DArg23-8132,6,20,AllPopsNoNursery,0.2,no,no,0.03,0.9,2,"red,blue",no,
ArgyTrif,DArg23-8132,6,20,AllPopsWithNursery,0.2,no,no,0.03,0.9,2,"red,blue",yes,"Nursery_Big Scrub FR,Nursery_Mt Nardi,Nursery_Johnsons Scrub,Nursery_Booyong NR,Nursery_Davis Scrub"
ArgyTrif,DArg23-8132,6,20,BigScrubRegionPopsNoNursery,0.2,no,no,0.03,0.9,2,"red,blue",no,
ArgyTrif,DArg23-8132,6,20,BigScrubRegionPopsWithNursery,0.2,no,no,0.03,0.9,2,"red,blue",yes,"Nursery_Big Scrub FR,Nursery_Mt Nardi,Nursery_Johnsons Scrub,Nursery_Booyong NR,Nursery_Davis Scrub"
NeolDeal,DNeo23-8244,6,20,BigScrubGNPopsNOnursery,0.2,no,no,0.03,0.9,5,"red,purple,orange,blue,green",no,
NeolDeal,DNeo23-8244,6,20,BigScrubGNPopswithnursery,0.2,yes,no,0.03,0.9,4,"red,green,black,blue",yes,"nurseryplant Big Scrub FR,nurseryplant Booyong NR,nurseryplant Davis Scrub,nurseryplant Johnsons Scrub,nurseryplant Mt Nardi"
NeolDeal,DNeo23-8244,6,20,BigScrubLocalRegionPopsNOnursery,0.2,no,no,0.03,0.9,5,"red,purple,orange,blue,green",no,
NeolDeal,DNeo23-8244,6,20,BigScrubLocalRegionPopswithnursery,0.2,yes,no,0.03,0.9,4,"red,green,black,blue",yes,"nurseryplant Big Scrub FR,nurseryplant Booyong NR,nurseryplant Davis Scrub,nurseryplant Johnsons Scrub,nurseryplant Mt Nardi"
DiplAust,DDip23-8149,6,20,NNSWCaldeMinusNursery,0.2,no,no,0.03,0.9,4,"blue,red,orange,green",yes,
DiplAust,DDip23-8149,6,20,NNSWCaldeWithNursery,0.2,no,no,0.03,0.9,4,"blue,red,orange,green",yes,"Wilding_BigScrubFR,Wilding_BooyongNR,Wilding_JohnsonsScrub"
DiplAust,DDip23-8149,6,20,BigScrubLocalRegionMinusNursery,0.2,no,no,0.03,0.9,4,"blue,red,orange,green",yes,
DiplAust,DDip23-8149,6,20,BigScrubLocalRegionWithNursery,0.2,no,no,0.03,0.9,4,"blue,red,orange,green",yes,"Wilding_BigScrubFR,Wilding_BooyongNR,Wilding_JohnsonsScrub"
NothMoor,DNoth23-7807,6,20,AllSamplesNoClones,0.2,no,no,0.03,0.9,3,"blue,red,green",no,
NothMoor,DNoth23-7807,6,20,BorderRangesOnlyNoClones,0.2,no,no,0.03,0.9,3,"blue,red,green",no,
NothMoor,DNoth23-7807,6,20,NewEnglandOnlyClones,0.2,no,no,0.03,0.9,3,"blue,red,green",no,
NothMoor,DNoth23-7807,6,20,ComboyneWerrikimbeOnlyNoClones,0.2,no,no,0.03,0.9,3,"blue,red,green",no,
ArgyTrif,DArg23-8132,6,20,NurseryPopsKinship,0.2,no,no,0.03,0.9,2,"red,blue",no,
DiplAust,DDip23-8149,6,20,NurseryPopsKinship,0.2,no,no,0.03,0.9,4,"blue,red,orange,green",no,
NeolDeal,DNeo23-8244,6,20,NurseryPopsKinship,0.2,no,no,0.03,0.9,5,"red,purple,orange,blue,green",no,
ArgyTrif,DArg23-8132,6,20,Clades,0.2,no,no,0.03,0.9,2,"red,blue",no,
NothMoor,DNoth23-7807,6,20,3GNsNoClones,0.2,no,no,0.03,0.9,3,"blue,red,green",no,
NothMoor,DNoth23-7807,6,20,2GNsNoClones,0.2,no,no,0.03,0.9,2,"red,green",no,
NothMoor,DNoth23-7807,6,20,AllSamplesNoClones,0.2,no,no,0.03,0.9,5,"purple,orange,blue,red,green",no,
NothMoor,DNoth23-7807,6,20,AllSamplesNoClones,0.2,no,no,0.03,0.9,4,"orange,blue,red,green",no,
NothMoor,DNoth23-7807,6,20,AllSamplesNoClones,0.2,no,no,0.03,0.9,3,"blue,red,green",no,
NothMoor,DNoth23-7807,6,20,AllSamplesMinusBarringtonNoClones,0.2,no,no,0.03,0.9,3,"blue,red,green",no,
NothMoor,DNoth23-7807,6,20,BaringtonOnlyNoClones,0.2,no,no,0.03,0.9,5,"green,red,blue,orange,yellow",no,
NothMoor,DNoth23-7807,6,20,ComboyneWerrikimbeOnlyNoClones,0.2,no,no,0.03,0.9,4,"orange,green,red,blue",no,
NothMoor,DNoth23-7807,6,20,NewEnglandOnlyClones,0.2,no,no,0.03,0.9,3,"green,red,blue",no,
NothMoor,DNoth23-7807,6,20,BorderRangesOnlyNoClones,0.2,no,no,0.03,0.9,5,"green,red,blue,orange,yellow",no,
NothMoor,DNoth23-7807,6,20,ExSituGeneticCapture,0.2,no,no,0.03,0.9,4,"black,blue,red,orange",no,
NothMoor,DNoth23-7807,6,20,Regions2NoClones,0.2,no,no,0.03,0.9,4,"black,blue,red,orange",no,
NeolDeal,DNeo23-8244,6,20,BigScrubGNPopsNOnursery,0.2,yes,yes,0.03,0.9,4,"red,green,black,blue",no,
SchizOvat,DSchiz23-7800,6,20,GNClades,0.2,no,no,0.03,0.9,4,"red,black,blue,green",no,
SchizOvat,DSchiz23-7800,6,20,AllSamples,0.2,no,no,0.03,0.9,3,"green,blue,red",no,
CeraApet,DCera23-7803,6,20,GNClades,0.2,no,no,0.03,0.9,4,"red,black,blue,green",no,
CeraApet,DCera23-7803,6,20,AllSamples,0.2,no,no,0.03,0.9,3,"red,blue,green",no,
BrachAcer,DBrach23-7798,6,20,SouthernAcerifoliusSamples,0.2,no,no,0.03,0.9,3,"red,blue,green",no,
BrachAcer,DBrach23-7798,6,20,SouthernGNClades,0.2,no,no,0.03,0.9,4,"red,black,blue,green",no,
DiplAust,DDip23-8149,6,20,AllSamples,0.2,no,no,0.03,0.9,4,"blue,red,orange,green",no,
DiplAust,DDip23-8149,6,20,GNClades,0.2,no,no,0.03,0.9,5,"orange,red,green,black,blue",no,
DiosPent,DDios22-7747,6,20,SouthGeneticGroups,0.2,no,no,0.03,0.9,5,"orange,purple,blue,black,green",no,
NeolDeal,DNeo23-8244,6,20,EntireGNClades,0.2,no,no,0.03,0.9,6,"orange,purple,red,green,black,blue",no,
NeolDeal,DNeo23-8244,6,20,AllDealbataPops,0.2,no,no,0.03,0.9,5,"red,purple,orange,blue,green",no,
NeolDeal,DNeo23-8244,6,20,SouthernGNClades,0.2,no,no,0.03,0.9,4,"red,green,black,blue",no,
NeolDeal,DNeo23-8244,6,20,3mainGNClades,0.2,no,no,0.03,0.9,3,"red,pink,blue",no,
NeolDeal,DNeo23-8244,6,20,SouthernDealbataPops,0.2,no,no,0.03,0.9,3,"red,green,blue",no,
NiemWhit,DNie23-8243,6,20,sp,0.2,no,no,0.03,0.9,3,"green,red,blue",no,
